Object ID,Name,Date,Latitude ,Longitude ,State,Jurisdiction,Universal?,Key Notes
law001,"1797 Del. Laws 104, An Act For the Trial Of Negroes, ch. 43, §6.",1797,39.0094° N,75.5083° W,Delaware,State,No- race based,
law002,"A Law for the Regulation of Slaves, 1799 Miss. Territory Laws 112, 113 (A. Marschalk 1799).",1799,32.7673° N,89.6807° W,Mississippi,"Territorial Laws
Forfeiture",No- race based,
law003,"TENN. CODE. ch. 22, § 6 (Heiskell & Brown 1821) (Law Passed 1801).",1801,35.7478° N,86.6923° W,Tennessee,State,Yes,"""That if any person or persons shall publicly ride or go armed to the terror of the people, or privately carry any dirk, large knife, pistol or any other dangerous weapon,"""
law004,"Slaves, §§ 3–4, ARK. TERRITORY CODE (J. Steele 1835) (Law Passed 1804).",1804,34.9697° N,92.3731° W,Arkansas Territory,Territorial,No- race based,
law005,"An Act Respecting Slaves, § 4, 1805 Miss. Laws 89, 90 (T.&S. Terrell 1805).",1805,32.7673° N,89.6807° W,Mississippi,State,No- race based,
law006,"ALA. CODE, ch. 2, § 4 (Ginn & Curtis 1823) (Law Passed 1805).",1805,32.6006° N,86.7876° W,Alabama,State,No- race based,
law007,"An Act to Restrain the Evil Practices Arising from Negroes Keeping Dogs, and to Prohibit Them From Carrying Guns or Offensive Weapons, ch. 81, §§ 1-2, 1806 Md. Laws 46, 47 (Frederick Green)",1806,39.0457° N,76.6412° W,Maryland,State,No- race based,
law008,"An Act Concerning Free Negros and Mulattoes, ch. 94, §§ 1-3, 1805 Va. Acts 51, 51 (Samuel Pleasants 1806).",1806,37.7693° N,78.1699° W,Virginia,State,No,
law009,"A Law Entitled a Law Respecting Slaves, §§ 4-5, MO. TERRITORY REV. STAT (Joseph Charless 1808) (Law Passed 1804).",1808,38.5739° N,92.6038° W,Missouri,Territorial ,No- race based,"""That no slave or mulatto whatsoever, shall keep or carry any gun, powder, shot, club or other weapon whatsoever, offensive or defensive; but all and every gun, weapon and ammunition found in the possession or custody of any negro or mulatto, may be seized by any person and upon due proof made before any justice of the peace of the district where such seizure shall be, shall by his order be forfeited to the seizor, for his own use, and moreover, every such offender shall have and receive by order of such justice any number of lashes not exceeding thirty-nine on his or her bare back, well laid on for every such offence."""
law010,"OHIO TERRITORY REV. CODE, ch. 13, § 4 (Corey & Fairbank 1833) (Law Passed 1790).",1790,40.3889° N,82.7649° W,Ohio Territory,State,Yes- “any person”,"“That nothing herein contained shall be deemed or construed to extend to any person lawfully using fire-arms as offensive or defensive weapons, in annoying, or opposing a common enemy, or defending his or her person or property, or the person or property of any other, against the invasion or depredations of an enemy, or in the support of the laws and government; or against the attacks of rebels, highwaymen, robbers, thieves, or others unlawfully assailing him or her, or in any other manner where such opposition, defence, or resistance is allowed by the law of the land.”"
